Package Name,Version Code,Number of Supported Screen Densities,Supported Screen Densities
me.pou.app,157,4,120 160 240 320
Game.NDK,27,2,160 240
com.aceviral.angrygranrun,21,5,120 160 240 320 65535
com.a0soft.gphone.app2sd,321,5,120 160 240 320 65535
com.google.android.videos,30251,6,160 240 320 480 640 65535
com.amdroid.pedo.gas.flatulencia,6,3,160 240 320
me.pou.app,132,4,120 160 240 320
atticlab.bodyscanner,41,3,160 240 320
com.king.candycrushsaga,101601,4,120 160 240 320
com.rovio.angrybirdsrio,1700,3,120 160 240
co.vine.android,67,6,120 160 213 240 320 480
com.google.android.googlequicksearchbox,300301240,7,120 160 240 320 480 640 65535
com.agilesoftresource,186537,6,120 160 240 320 480 640
com.instagram.android,824805,6,120 160 240 320 480 65535
com.zeptolab.ctr.ads,30,4,120 160 240 320
com.avast.android.mobilesecurity,6158,6,120 160 240 320 480 65535
com.netflix.mediaclient,950,6,120 160 213 240 320 480
com.google.android.youtube,5324,7,120 160 213 240 320 480 65535
com.google.android.apps.books,30015,6,160 240 320 480 640 65535
com.twitter.android,3000517,6,120 160 213 240 320 480
ch.smalltech.battery.free,129,6,120 160 240 320 480 65535
com.kakao.talk,138,6,120 160 240 320 480 65535
Uxpp.UC,112,5,120 160 240 320 480
com.dropbox.android,231004,5,120 160 240 320 480
com.surpax.ledflashlight.panel,4,5,120 160 240 320 480
flipboard.app,2025,6,120 160 240 320 480 65535
com.google.android.apps.translate,30000028,5,120 160 240 320 480
com.roidapp.photogrid,125,5,120 160 240 320 480
com.StudioOnMars.CSPortable,3309,4,120 160 240 320
com.amazon.mp3,2080310,5,120 160 240 320 480
com.jiubang.goscreenlock,325,3,160 240 320
com.facebook.katana,258882,6,120 160 240 320 480 65535
com.PinballGame,9,2,160 240
com.outfit7.talkingtom,63,7,120 160 213 240 320 480 65535
com.aceviral.angrygranrun,24,6,120 160 240 320 480 65535
com.google.android.apps.books,20921,5,160 240 320 480 65535
brain.age.analyzer,53,4,120 160 240 320
com.gamestar.pianoperfect,614,2,160 240
com.sec.spp.push,36,4,120 160 240 320
com.netflix.mediaclient,1042,5,120 160 240 320 480
com.imangi.templerun2,14,5,120 160 240 320 480
co.vine.android,1400110,6,120 160 213 240 320 480
com.google.android.apps.maps,704001103,7,120 160 240 320 480 640 65535
vStudio.Android.Camera360,434,5,120 160 240 320 480
com.google.android.apps.docs,1246114,6,160 240 320 480 640 65535
jp.naver.line.android,135,4,120 160 240 320
com.outfit7.talkingtom2free,32,6,120 160 213 240 320 65535
com.RunnerGames.game.JewelsDeluxe_AD,25,1,160
com.sec.chaton,302115000,7,120 160 213 240 320 480 65535
com.picsart.studio,79,6,120 160 240 320 480 65535
com.gameloft.android.ANMP.GloftDMHM,15022,5,120 160 240 320 480
com.disney.WMWLite,17,4,120 160 240 320
com.androidwasabi.livewallpaper.dandelion,42,2,160 240
com.roidapp.photogrid,101,6,120 160 213 240 320 480
com.lookout,81910,4,120 160 240 320
com.ebay.mobile,46,6,120 160 240 320 480 65535
com.facebook.orca,906963,6,120 160 240 320 480 65535
com.bestcoolfungames.antsmasher,7007,3,120 160 320
com.zeptolab.ctr.ads,22,4,120 160 240 320
com.RunnerGames.game.JewelsDeluxe_AD,24,1,160
com.google.android.music,1316,5,160 240 320 480 65535
com.ansangha.drdriving,12,5,120 160 240 320 480
com.outfit7.talkingtom,52,7,120 160 213 240 320 480 65535
com.google.earth,13140170,4,160 240 320 480
com.facebook.orca,295612,5,120 160 240 320 65535
com.amazon.mp3,3002410,5,120 160 240 320 480
com.google.android.apps.plus,410508092,6,160 213 240 320 480 65535
com.google.android.music,1109,5,160 240 320 480 65535
ch.smalltech.ledflashlight.free,156,6,120 160 240 320 480 65535
air.com.playtika.slotomania,1039000,4,120 160 240 320
com.viber.voip,37,5,120 160 240 320 65535
com.adobe.air,3900138,5,120 160 240 320 480
com.imangi.templerun2,12,4,120 160 240 320
com.jiubang.goscreenlock,337,3,160 240 320
com.UCMobile.intl,89,7,120 160 213 240 320 480 65535
com.accuweather.android,45,5,120 160 240 320 480
tunein.player,116,5,120 160 213 240 320
tunein.player,68,5,120 160 213 240 320
goldenshorestechnologies.brightestflashlight.free,27,1,160
com.rovio.angrybirdsstarwars.ads.iap,1410,3,120 160 240
org.mozilla.firefox,2013120507,4,160 240 320 480
com.dropbox.android,231104,5,120 160 240 320 480
com.halfbrick.jetpackjoyride,1600,4,120 160 240 320
com.sec.spp.push,46,4,120 160 240 320
com.google.android.youtube,5021,7,120 160 213 240 320 480 65535
com.android.chrome,1650059,8,120 160 213 240 320 480 640 65535
vStudio.Android.Camera360,422,5,120 160 240 320 480
com.creativemobile.DragRacing,90,5,120 160 240 320 480
com.rovio.angrybirdsspace.ads,1650,4,120 160 240 320
com.yahoo.mobile.client.android.mail,1310622,5,120 160 240 320 480
goldenshorestechnologies.brightestflashlight.free,26,1,160
com.google.android.talk,757001,5,160 213 240 320 480
com.mxtech.videoplayer.ad,65,5,120 160 240 320 65535
com.google.android.apps.maps,701000803,6,120 160 240 320 480 65535
com.melodis.midomiMusicIdentifier.freemium,10591,7,120 160 213 240 320 480 65535
br.com.rodrigokolb.realdrum,23,6,120 160 240 320 480 640
com.alienmanfc6.wheresmyandroid,92,4,120 160 240 320
com.skype.raider,67405411,6,120 160 240 320 480 65535
at.nerbrothers.SuperJump,11,3,120 160 240
com.picsart.studio,68,5,120 160 240 320 65535
com.rechild.advancedtaskkiller,103,1,160
com.androidwasabi.livewallpaper.dandelion,44,3,160 240 320
com.ebay.mobile,43,5,120 160 240 320 65535
com.google.earth,13294050,5,160 240 320 480 640
com.metago.astro,564,4,120 160 240 320
com.PinballGame,8,2,160 240
com.jb.gosms,170,4,120 160 240 320
com.devuni.flashlight,141,5,120 160 240 320 480
com.devuni.flashlight,139,4,120 160 240 320
com.skype.raider,67130946,4,160 240 320 65535
com.aitype.android,1999,4,120 160 240 320
com.android.chrome,1547059,7,120 160 213 240 320 480 65535
com.bestcoolfungames.antsmasher,7002,3,120 160 320
com.a0soft.gphone.app2sd,318,5,120 160 240 320 65535
com.accuweather.android,41,5,120 160 240 320 480
com.gau.go.launcherex,267,5,120 160 240 320 65535
com.google.android.googlequicksearchbox,300301080,7,120 160 240 320 480 640 65535
com.samsung.swift.app.kiesair,23132,6,120 160 213 240 320 480
com.sec.chaton,207103000,5,120 160 240 320 480
com.jb.gosms,154,3,120 160 240
com.melodis.midomiMusicIdentifier.freemium,10560,7,120 160 213 240 320 480 65535
